Reference,Quantity,Identifier,footprint,Value,Tolerance,Voltage,Current,Power,PN
J1,1,,ice4pi:PinSocket_2x20_P2.54mm_Vertical_1_04mm,-,,,,,2223
J2,1,,ice4pi:PinSocket_2x20_P2.54mm_Vertical_1_04mm,-,,,,,1992

